"School.Name","School.Type","Starting.Median.Salary.x","Mid.Career.Median.Salary.x","Mid.Career.10th.Percentile.Salary.x","Mid.Career.25th.Percentile.Salary.x","Mid.Career.75th.Percentile.Salary.x","Mid.Career.90th.Percentile.Salary.x","Region","Ivy.Type","Start.Mid.Salary.Diff"
"Amherst College","Liberal Arts",54500,107000,"N/A","$84,900.00","$162,000.00","N/A","Northeastern",0,52500
"Appalachian State University","State",40400,69100,"$37,200.00","$50,400.00","$90,800.00","$115,000.00","Southern",0,28700
"Arizona State University (ASU)","State",47400,84100,"$44,600.00","$60,700.00","$114,000.00","$163,000.00","Western",0,36700
"Arizona State University (ASU)","Party",47400,84100,"$44,600.00","$60,700.00","$114,000.00","$163,000.00","Western",0,36700
"Arkansas State University (ASU)","State",38700,63300,"$33,600.00","$45,300.00","$83,900.00","$118,000.00","Southern",0,24600
"Auburn University","State",45400,84700,"$45,400.00","$62,700.00","$109,000.00","$145,000.00","Southern",0,39300
"Austin Peay State University","State",37700,59200,"$32,200.00","$40,500.00","$73,900.00","$96,200.00","Southern",0,21500
"Ball State University (BSU)","State",39100,64500,"$35,500.00","$48,200.00","$89,300.00","$128,000.00","Midwestern",0,25400
"Bates College","Liberal Arts",47300,96500,"N/A","$60,700.00","$162,000.00","N/A","Northeastern",0,49200
"Binghamton University","State",53600,95900,"$50,900.00","$71,200.00","$146,000.00","$201,000.00","Northeastern",0,42300
"Black Hills State University","State",35300,43900,"$27,000.00","$32,200.00","$60,900.00","$87,600.00","Midwestern",0,8600
"Boise State University (BSU)","State",40800,69500,"$37,400.00","$48,700.00","$87,500.00","$110,000.00","Western",0,28700
"Bowdoin College","Liberal Arts",48100,107000,"N/A","$74,600.00","$146,000.00","N/A","Northeastern",0,58900
"Bowling Green State University","State",39800,72100,"$38,200.00","$51,800.00","$101,000.00","$146,000.00","Midwestern",0,32300
"Brown University","Ivy League",56200,109000,"$55,400.00","$74,400.00","$159,000.00","$228,000.00","Northeastern",1,52800
"Bucknell University","Liberal Arts",54100,110000,"$62,800.00","$80,600.00","$156,000.00","$251,000.00","Northeastern",0,55900
"Cal Poly San Luis Obispo","State",57200,101000,"$55,000.00","$74,700.00","$133,000.00","$178,000.00","California",0,43800
"California Institute of Technology (CIT)","Engineering",75500,123000,"N/A","$104,000.00","$161,000.00","N/A","California",0,47500
"California State University (CSU), Chico","State",47400,88100,"$46,800.00","$62,800.00","$122,000.00","$154,000.00","California",0,40700
"California State University (CSU), Stanislaus","State",38000,71400,"$33,700.00","$50,500.00","$94,100.00","$121,000.00","California",0,33400
"California State University, Dominguez Hills (CSUDH)","State",42700,72100,"$30,800.00","$47,000.00","$92,200.00","$132,000.00","California",0,29400
